code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
2897.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,18,0.0,0.0,0.0,-1.0008,0,2
290A.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,3,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
2914.T,coarse,full,1,1.5,1.0,0.6,0.03,0.03,60,29,0.13793103448275862,0.2608695652173913,0.23968025579536376,-0.6559724137931033,0,2
3038.T,coarse,full,5,1.5,1.0,0.4,0.01,0.01,60,10,0.7,5.25,3.495337063682387,0.7491999999999999,0,2
3064.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,12,0.16666666666666666,0.5,0.29960031974420465,-0.5841333333333333,0,2
3086.T,coarse,full,1,1.5,1.0,0.4,0.03,0.01,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
3088.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,6,0.0,0.0,0.0,-1.0008,0,2
3092.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
3099.T,coarse,full,1,1.5,1.0,0.4,0.01,0.05,60,5,0.6,4.5,2.2470023980815346,0.4992,0,2
314A.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,3,0.0,0.0,0.0,-1.0008,0,2
3231.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,1,1.0,999.0,999.0,1.1992,0,2
3289.T,coarse,full,5,1.5,1.0,0.8,0.01,0.01,60,5,0.2,1.5,0.37450039968025584,-0.5007999999999999,0,2
3349.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,2,0.0,0.0,0.0,-1.0008,0,2
3350.T,coarse,full,1,1.5,1.5,0.4,0.03,0.03,60,15,0.4,0.8571428571428571,0.6659559346126512,-0.30079999999999985,0,2
3382.T,coarse,full,5,1.5,1.0,0.4,0.03,0.01,60,30,0.06666666666666667,0.1111111111111111,0.10700011419435881,-0.8341333333333333,0,2
3402.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,4,0.0,0.0,0.0,-1.0008,0,2
3405.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,4,0.0,0.0,0.0,-1.0008,0,2
3407.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
3436.T,coarse,full,5,1.5,1.0,0.4,0.01,0.01,60,21,0.09523809523809523,0.15789473684210525,0.15768437881273928,-0.7627047619047619,0,2
3563.T,coarse,full,3,1.5,1.0,0.4,0.05,0.01,60,19,0.3157894736842105,0.6923076923076923,0.6913853532558569,-0.21132631578947358,0,2
3635.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,5,0.6,1.7999999999999998,1.7973621103117507,0.31920000000000004,0,2
3647.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
3687.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
3692.T,coarse,full,3,1.5,1.0,0.4,0.01,0.01,60,17,0.11764705882352941,0.2,0.19973354649613645,-0.7066823529411763,0,2
3697.T,coarse,full,1,1.5,1.0,0.6,0.05,0.01,60,3,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
3861.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,7,0.0,0.0,0.0,-1.0008,0,2
3905.T,coarse,full,1,1.5,2.0,0.4,0.01,0.03,60,22,0.18181818181818182,0.17647058823529413,0.1665111733084544,-1.3644363636363634,0,2
4004.T,coarse,full,5,1.5,1.0,0.8,0.01,0.01,60,8,0.5,2.0,1.4980015987210233,0.2492000000000001,0,2
4005.T,coarse,full,5,1.5,2.0,0.4,0.05,0.05,60,9,0.4444444444444444,0.6,0.5994402239104357,-0.44524444444444455,0,2
402A.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,9,0.2222222222222222,0.5,0.4280004567774352,-0.44524444444444444,0,2
4042.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
4043.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,2,0.0,0.0,0.0,-1.0008,0,2
4062.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,25,0.16,0.2857142857142857,0.2853336378516235,-0.6007999999999998,0,2
4063.T,coarse,full,1,1.5,2.0,0.4,0.01,0.01,60,29,0.3793103448275862,0.4852941176470588,0.4579057265982496,-0.6732137931034483,0,2
4088.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
4182.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,1,0.0,0.0,0.0,-1.0008,0,2
4188.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,5,0.0,0.0,0.0,-1.0008,0,2
4204.T,coarse,full,1,1.5,2.0,0.4,0.01,0.01,60,6,0.5,2.25,0.7493002798880448,-0.2507999999999999,0,2
423A.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
4307.T,coarse,full,5,1.5,1.0,0.4,0.03,0.01,60,16,0.1875,0.4090909090909091,0.34569267662792846,-0.5320499999999999,0,2
4385.T,coarse,full,1,1.2,1.5,0.6,0.01,0.01,60,12,0.16666666666666666,0.16,0.1598081023454158,-1.0508,0,2
4446.T,coarse,full,5,1.5,1.0,0.4,0.01,0.01,60,4,0.25,1.5,0.49933386624034115,-0.3757999999999999,0,2
4452.T,coarse,full,5,1.5,1.5,0.4,0.01,0.01,60,9,0.3333333333333333,0.5,0.49946695095948823,-0.5008000000000001,0,2
4502.T,coarse,full,1,1.5,2.0,0.6,0.03,0.03,60,19,0.47368421052631576,0.75,0.6743702518992403,-0.3429052631578948,0,2
4503.T,coarse,full,1,1.5,1.5,0.6,0.01,0.01,60,18,0.3888888888888889,0.6363636363636364,0.6356852103120759,-0.3341333333333334,0,2
4506.T,coarse,full,1,1.5,1.5,0.4,0.05,0.01,60,18,0.3888888888888889,0.6363636363636364,0.6356852103120759,-0.3341333333333334,0,2
4507.T,coarse,full,5,1.2,1.0,0.4,0.01,0.03,60,1,1.0,999.0,999.0,1.1992,0,2
4519.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,27,0.14814814814814814,0.2727272727272727,0.26052201716887363,-0.6304296296296296,0,2
4523.T,coarse,full,1,1.5,1.0,0.6,0.01,0.01,60,10,0.4,1.2,0.9986677324806824,-0.0007999999999998009,0,2
4528.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
4543.T,coarse,full,1,1.2,1.5,0.4,0.01,0.01,60,15,0.3333333333333333,0.5,0.3995202558635394,-0.6008000000000002,0,2
4568.T,coarse,full,1,1.5,1.0,0.4,0.05,0.01,60,20,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
4571.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,3,0.0,0.0,0.0,-1.0008,0,2
4578.T,coarse,full,1,1.2,1.0,0.4,0.01,0.03,60,8,0.25,0.48,0.3994138022915002,-0.4507999999999999,0,2
4588.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,2,0.5,999.0,1.1982414068745006,0.09920000000000007,0,2
4592.T,coarse,full,5,1.5,1.0,0.4,0.05,0.01,60,16,0.1875,0.4090909090909091,0.34569267662792846,-0.5320499999999999,0,2
4612.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
4661.T,coarse,full,3,1.5,2.0,0.4,0.01,0.01,60,21,0.3333333333333333,0.4375,0.3746501399440224,-0.8341333333333334,0,2
4680.T,coarse,full,1,1.2,1.5,0.4,0.01,0.01,60,5,0.4,1.5999999999999999,0.5326936744847194,-0.4207999999999999,0,2
4689.T,coarse,full,3,1.5,1.0,0.4,0.05,0.01,60,13,0.5384615384615384,2.1,1.7476685318411938,0.3453538461538462,0,2
4704.T,coarse,full,5,1.5,1.0,0.4,0.03,0.05,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
4732.T,coarse,full,3,1.2,1.0,0.4,0.01,0.05,60,1,1.0,999.0,999.0,1.1992,0,2
4751.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,4,0.0,0.0,0.0,-1.0008,0,2
4755.T,coarse,full,1,1.5,1.5,0.4,0.01,0.01,60,25,0.24,0.3157894736842105,0.31545281113230844,-0.7807999999999998,0,2
4814.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,1,1.0,999.0,999.0,1.1992,0,2
4889.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
4901.T,coarse,full,1,1.5,1.5,0.6,0.01,0.01,60,16,0.1875,0.23076923076923078,0.23052320813514848,-0.9382999999999998,0,2
4911.T,coarse,full,5,1.5,1.0,0.4,0.03,0.05,60,8,0.125,0.21428571428571427,0.21400022838871763,-0.6882999999999999,0,2
5016.T,coarse,full,5,1.5,1.0,0.6,0.01,0.05,60,10,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
5019.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
5020.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,20,0.15,0.32142857142857145,0.26435322330371,-0.6257999999999999,0,2
5076.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,7,0.0,0.0,0.0,-1.0008,0,2
5105.T,coarse,full,1,1.2,1.5,0.4,0.01,0.01,60,2,0.5,0.7999999999999999,0.799040511727079,-0.15079999999999993,0,2
5108.T,coarse,full,1,1.2,1.0,0.8,0.01,0.01,60,26,0.19230769230769232,0.2857142857142857,0.2852955730653573,-0.5777230769230768,0,2
5246.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
5253.T,coarse,full,3,1.2,1.0,0.6,0.01,0.01,60,1,1.0,999.0,999.0,1.1992,0,2
5401.T,coarse,full,1,1.5,1.5,0.4,0.01,0.01,60,18,0.2222222222222222,0.3076923076923077,0.28540968626256474,-0.8341333333333333,0,2
5406.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,2,0.0,0.0,0.0,-1.0008,0,2
5411.T,coarse,full,1,1.2,2.0,0.6,0.01,0.01,60,9,0.2222222222222222,0.17142857142857143,0.171245787399326,-1.2896888888888887,0,2
5595.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,10,0.0,0.0,0.0,-1.0008,0,2
5631.T,coarse,full,1,1.5,2.0,0.6,0.01,0.01,60,19,0.21052631578947367,0.2,0.1998134079701453,-1.263957894736842,0,2
5706.T,coarse,full,1,1.5,2.0,0.8,0.01,0.03,60,19,0.47368421052631576,0.675,0.6743702518992403,-0.3429052631578948,0,2
5711.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,7,0.42857142857142855,1.125,1.1235011990407675,0.07062857142857148,0,2
5713.T,coarse,full,5,1.5,2.0,0.4,0.01,0.01,60,27,0.18518518518518517,0.17045454545454544,0.1702955181563738,-1.3526518518518518,0,2
