[2025-10-17 07:14:17] Run started
[2025-10-17 07:14:17] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:15:55] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:15:55] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:15:55] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:15:55] Parameter grid size: 96 (mode=coarse)
[2025-10-17 07:19:00] [178/262] 7167.T: best train_pf_eff=0.749, forward_pf_eff=0.749, trades=2/2
[2025-10-17 07:19:01] [179/262] 7182.T: best train_pf_eff=0.094, forward_pf_eff=0.375, trades=17/5
[2025-10-17 07:19:02] [180/262] 7186.T: best train_pf_eff=0.599, forward_pf_eff=0.000, trades=6/0
[2025-10-17 07:19:03] [181/262] 7201.T: best train_pf_eff=0.000, forward_pf_eff=0.200, trades=17/7
[2025-10-17 07:19:04] [182/262] 7202.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 07:19:06] [183/262] 7203.T: best train_pf_eff=0.125, forward_pf_eff=0.000, trades=14/6
[2025-10-17 07:19:06] [184/262] 7211.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 07:19:07] [185/262] 7261.T: best train_pf_eff=0.166, forward_pf_eff=0.000, trades=10/4
[2025-10-17 07:19:08] [186/262] 7267.T: best train_pf_eff=0.642, forward_pf_eff=0.499, trades=20/8
[2025-10-17 07:19:10] [187/262] 7269.T: best train_pf_eff=0.281, forward_pf_eff=0.375, trades=11/3
[2025-10-17 07:19:11] [188/262] 7270.T: best train_pf_eff=0.187, forward_pf_eff=0.375, trades=9/5
[2025-10-17 07:19:12] [189/262] 7272.T: best train_pf_eff=0.300, forward_pf_eff=0.000, trades=7/6
[2025-10-17 07:19:13] [190/262] 7453.T: best train_pf_eff=0.545, forward_pf_eff=1.498, trades=15/4
[2025-10-17 07:19:14] [191/262] 7532.T: best train_pf_eff=0.899, forward_pf_eff=0.749, trades=16/3
[2025-10-17 07:19:16] [192/262] 7711.T: best train_pf_eff=0.642, forward_pf_eff=0.300, trades=10/6
[2025-10-17 07:19:16] [193/262] 7731.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/2
[2025-10-17 07:19:17] [194/262] 7733.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 07:19:18] [195/262] 7735.T: best train_pf_eff=0.075, forward_pf_eff=0.000, trades=22/9
[2025-10-17 07:19:20] [196/262] 7741.T: best train_pf_eff=0.342, forward_pf_eff=0.514, trades=27/10
[2025-10-17 07:19:21] [197/262] 7751.T: best train_pf_eff=1.037, forward_pf_eff=0.300, trades=22/6
[2025-10-17 07:19:22] [198/262] 7832.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=10/3
[2025-10-17 07:19:23] [199/262] 7911.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=6/0
[2025-10-17 07:19:23] [200/262] 7912.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 07:19:24] [201/262] 7936.T: best train_pf_eff=0.231, forward_pf_eff=0.749, trades=17/4
[2025-10-17 07:19:26] [202/262] 7974.T: best train_pf_eff=0.599, forward_pf_eff=0.428, trades=14/9
[2025-10-17 07:19:27] [203/262] 8001.T: best train_pf_eff=1.498, forward_pf_eff=999.000, trades=22/1
[2025-10-17 07:19:28] [204/262] 8002.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=5/1
[2025-10-17 07:19:29] [205/262] 8015.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/3
[2025-10-17 07:19:30] [206/262] 8031.T: best train_pf_eff=1.498, forward_pf_eff=0.300, trades=16/6
[2025-10-17 07:19:32] [207/262] 8035.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=18/5
[2025-10-17 07:19:33] [208/262] 8053.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=15/2
[2025-10-17 07:19:34] [209/262] 8058.T: best train_pf_eff=0.321, forward_pf_eff=0.000, trades=17/5
[2025-10-17 07:19:35] [210/262] 8105.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=3/1
[2025-10-17 07:19:36] [211/262] 8113.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/1
[2025-10-17 07:19:38] [212/262] 8136.T: best train_pf_eff=0.088, forward_pf_eff=1.873, trades=18/9
[2025-10-17 07:19:38] [213/262] 8233.T: best train_pf_eff=0.999, forward_pf_eff=0.000, trades=5/0
[2025-10-17 07:19:40] [214/262] 8267.T: best train_pf_eff=0.200, forward_pf_eff=0.000, trades=19/5
[2025-10-17 07:19:41] [215/262] 8306.T: best train_pf_eff=0.264, forward_pf_eff=0.599, trades=20/7
[2025-10-17 07:19:42] [216/262] 8308.T: best train_pf_eff=0.856, forward_pf_eff=0.499, trades=11/4
[2025-10-17 07:19:43] [217/262] 8309.T: best train_pf_eff=0.115, forward_pf_eff=0.000, trades=15/4
[2025-10-17 07:19:45] [218/262] 8316.T: best train_pf_eff=0.214, forward_pf_eff=0.749, trades=18/6
[2025-10-17 07:19:46] [219/262] 8331.T: best train_pf_eff=2.996, forward_pf_eff=1.498, trades=3/4
[2025-10-17 07:19:47] [220/262] 8411.T: best train_pf_eff=0.599, forward_pf_eff=0.749, trades=14/6
[2025-10-17 07:19:48] [221/262] 8473.T: best train_pf_eff=0.125, forward_pf_eff=0.000, trades=13/8
[2025-10-17 07:19:50] [222/262] 8591.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=18/3
[2025-10-17 07:19:51] [223/262] 8601.T: best train_pf_eff=0.250, forward_pf_eff=0.000, trades=7/3
