[2025-10-17 07:51:50] Run started
[2025-10-17 07:51:50] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:53:35] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:53:35] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:53:35] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:53:35] Parameter grid size: 648 (mode=coarse, signal=full)
[2025-10-17 08:05:54] [101/262] 4755.T: best train_pf_eff=0.315, forward_pf_eff=0.111, trades=25/10
[2025-10-17 08:06:00] [102/262] 4814.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/1
[2025-10-17 08:06:04] [103/262] 4889.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 08:06:13] [104/262] 4901.T: best train_pf_eff=0.231, forward_pf_eff=0.000, trades=16/5
[2025-10-17 08:06:22] [105/262] 4911.T: best train_pf_eff=0.214, forward_pf_eff=0.375, trades=8/5
[2025-10-17 08:06:32] [106/262] 5016.T: best train_pf_eff=1.498, forward_pf_eff=1.124, trades=10/7
[2025-10-17 08:06:37] [107/262] 5019.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=2/0
[2025-10-17 08:06:47] [108/262] 5020.T: best train_pf_eff=0.264, forward_pf_eff=0.000, trades=20/4
[2025-10-17 08:06:55] [109/262] 5076.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=7/4
[2025-10-17 08:07:02] [110/262] 5105.T: best train_pf_eff=0.799, forward_pf_eff=0.400, trades=2/3
[2025-10-17 08:07:14] [111/262] 5108.T: best train_pf_eff=0.285, forward_pf_eff=0.342, trades=26/9
[2025-10-17 08:07:18] [112/262] 5246.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 08:07:24] [113/262] 5253.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/1
[2025-10-17 08:07:35] [114/262] 5401.T: best train_pf_eff=0.285, forward_pf_eff=0.000, trades=18/11
[2025-10-17 08:07:42] [115/262] 5406.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/3
[2025-10-17 08:07:49] [116/262] 5411.T: best train_pf_eff=0.171, forward_pf_eff=1.199, trades=9/3
[2025-10-17 08:08:00] [117/262] 5595.T: best train_pf_eff=0.000, forward_pf_eff=0.300, trades=10/5
[2025-10-17 08:08:11] [118/262] 5631.T: best train_pf_eff=0.200, forward_pf_eff=0.214, trades=19/9
[2025-10-17 08:08:22] [119/262] 5706.T: best train_pf_eff=0.674, forward_pf_eff=1.499, trades=19/6
[2025-10-17 08:08:32] [120/262] 5711.T: best train_pf_eff=1.124, forward_pf_eff=0.250, trades=7/7
[2025-10-17 08:08:42] [121/262] 5713.T: best train_pf_eff=0.170, forward_pf_eff=0.125, trades=27/14
[2025-10-17 08:08:45] [122/262] 5724.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-10-17 08:08:54] [123/262] 5726.T: best train_pf_eff=0.281, forward_pf_eff=0.000, trades=19/5
[2025-10-17 08:09:04] [124/262] 5801.T: best train_pf_eff=0.562, forward_pf_eff=2.247, trades=11/5
[2025-10-17 08:09:15] [125/262] 5802.T: best train_pf_eff=0.449, forward_pf_eff=0.999, trades=13/5
[2025-10-17 08:09:25] [126/262] 5803.T: best train_pf_eff=0.272, forward_pf_eff=1.498, trades=13/8
[2025-10-17 08:09:36] [127/262] 5838.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=18/7
[2025-10-17 08:09:39] [128/262] 5991.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-10-17 08:09:48] [129/262] 6098.T: best train_pf_eff=0.225, forward_pf_eff=0.094, trades=13/9
[2025-10-17 08:09:53] [130/262] 6141.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=2/0
[2025-10-17 08:10:03] [131/262] 6146.T: best train_pf_eff=0.456, forward_pf_eff=0.125, trades=30/13
[2025-10-17 08:10:10] [132/262] 6177.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=6/2
[2025-10-17 08:10:21] [133/262] 6178.T: best train_pf_eff=0.499, forward_pf_eff=0.599, trades=24/7
[2025-10-17 08:10:25] [134/262] 6232.T: best train_pf_eff=2.996, forward_pf_eff=2.996, trades=3/3
[2025-10-17 08:10:33] [135/262] 6268.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/1
[2025-10-17 08:10:43] [136/262] 6301.T: best train_pf_eff=0.999, forward_pf_eff=0.749, trades=20/6
[2025-10-17 08:10:54] [137/262] 6315.T: best train_pf_eff=0.409, forward_pf_eff=0.000, trades=28/9
[2025-10-17 08:11:05] [138/262] 6323.T: best train_pf_eff=1.855, forward_pf_eff=1.998, trades=20/6
[2025-10-17 08:11:09] [139/262] 6324.T: best train_pf_eff=0.000, forward_pf_eff=0.399, trades=1/4
[2025-10-17 08:11:18] [140/262] 6326.T: best train_pf_eff=0.150, forward_pf_eff=0.250, trades=12/4
[2025-10-17 08:11:21] [141/262] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/5
[2025-10-17 08:11:31] [142/262] 6361.T: best train_pf_eff=0.538, forward_pf_eff=0.250, trades=20/10
[2025-10-17 08:11:42] [143/262] 6367.T: best train_pf_eff=0.369, forward_pf_eff=1.797, trades=17/5
[2025-10-17 08:11:47] [144/262] 6460.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=10/0
[2025-10-17 08:11:52] [145/262] 6479.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 08:12:02] [146/262] 6501.T: best train_pf_eff=1.198, forward_pf_eff=0.000, trades=9/4
[2025-10-17 08:12:12] [147/262] 6503.T: best train_pf_eff=0.170, forward_pf_eff=0.094, trades=27/9
[2025-10-17 08:12:23] [148/262] 6506.T: best train_pf_eff=1.124, forward_pf_eff=0.000, trades=20/5
[2025-10-17 08:12:35] [149/262] 6525.T: best train_pf_eff=0.107, forward_pf_eff=0.083, trades=32/10
[2025-10-17 08:12:45] [150/262] 6526.T: best train_pf_eff=0.250, forward_pf_eff=0.599, trades=21/7
[2025-10-17 08:12:53] [151/262] 6532.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=19/6
[2025-10-17 08:13:03] [152/262] 6590.T: best train_pf_eff=1.686, forward_pf_eff=0.068, trades=13/12
[2025-10-17 08:13:12] [153/262] 6594.T: best train_pf_eff=0.636, forward_pf_eff=0.143, trades=18/8
[2025-10-17 08:13:22] [154/262] 6701.T: best train_pf_eff=0.150, forward_pf_eff=0.000, trades=22/4
[2025-10-17 08:13:31] [155/262] 6702.T: best train_pf_eff=0.321, forward_pf_eff=0.000, trades=17/5
[2025-10-17 08:13:43] [156/262] 6723.T: best train_pf_eff=0.288, forward_pf_eff=3.747, trades=18/6
[2025-10-17 08:13:53] [157/262] 6752.T: best train_pf_eff=0.937, forward_pf_eff=2.997, trades=9/5
[2025-10-17 08:14:03] [158/262] 6758.T: best train_pf_eff=0.599, forward_pf_eff=0.187, trades=28/9
[2025-10-17 08:14:12] [159/262] 6762.T: best train_pf_eff=0.400, forward_pf_eff=4.995, trades=14/6
[2025-10-17 08:14:20] [160/262] 6814.T: best train_pf_eff=1.498, forward_pf_eff=0.375, trades=2/5
[2025-10-17 08:14:29] [161/262] 6857.T: best train_pf_eff=0.749, forward_pf_eff=0.250, trades=21/7
[2025-10-17 08:14:40] [162/262] 6861.T: best train_pf_eff=0.927, forward_pf_eff=0.499, trades=34/4
[2025-10-17 08:14:46] [163/262] 6869.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/2
[2025-10-17 08:14:56] [164/262] 6871.T: best train_pf_eff=0.100, forward_pf_eff=0.250, trades=16/7
[2025-10-17 08:15:06] [165/262] 6902.T: best train_pf_eff=0.115, forward_pf_eff=0.250, trades=14/7
[2025-10-17 08:15:17] [166/262] 6920.T: best train_pf_eff=0.204, forward_pf_eff=0.499, trades=25/12
[2025-10-17 08:15:29] [167/262] 6954.T: best train_pf_eff=0.499, forward_pf_eff=0.499, trades=24/4
[2025-10-17 08:15:39] [168/262] 6963.T: best train_pf_eff=0.204, forward_pf_eff=0.375, trades=25/5
[2025-10-17 08:15:46] [169/262] 6965.T: best train_pf_eff=3.595, forward_pf_eff=999.000, trades=8/2
[2025-10-17 08:15:54] [170/262] 6971.T: best train_pf_eff=0.136, forward_pf_eff=0.000, trades=13/3
