[2025-11-04 17:38:49] Run started
[2025-11-04 17:38:49] Run type resolved to weekday
[2025-11-04 17:38:50] Codes limited via C:\AI\asagake\output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-04 17:41:02] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-04 17:41:31] Entry window marks set: 246483 rows flagged out of 2894552
[2025-11-04 17:41:33] Liquidity filter q=0.50 kept 222 tickers and 1564022 rows
[2025-11-04 17:41:33] Using 5 rolling slices (train=12, forward=4)
[2025-11-04 17:41:33] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-04 17:41:33] Ineffective-band mask removed 96 combos for J_th values [0.3, 0.4, 0.6, 0.7, 0.8, 1.0]
[2025-11-04 17:58:59] [187/222] 8411.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=54/12
[2025-11-04 17:59:03] [188/222] 8473.T: best train_pf_eff=1.495, forward_pf_eff=1.133, trades=59/29
[2025-11-04 17:59:05] [189/222] 8697.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-04 17:59:09] [190/222] 8591.T: best train_pf_eff=0.000, forward_pf_eff=2.568, trades=8/6
[2025-11-04 17:59:13] [191/222] 8604.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/2
[2025-11-04 17:59:22] [192/222] 8630.T: best train_pf_eff=1.710, forward_pf_eff=4.209, trades=28/10
[2025-11-04 17:59:41] [193/222] 8750.T: best train_pf_eff=0.778, forward_pf_eff=1.205, trades=42/20
[2025-11-04 17:59:42] [194/222] 8725.T: best train_pf_eff=0.497, forward_pf_eff=0.464, trades=208/53
[2025-11-04 17:59:43] [195/222] 8729.T: best train_pf_eff=0.639, forward_pf_eff=0.932, trades=84/21
[2025-11-04 17:59:47] [196/222] 8802.T: best train_pf_eff=7.673, forward_pf_eff=9.411, trades=62/24
[2025-11-04 17:59:49] [197/222] 8801.T: best train_pf_eff=844.110, forward_pf_eff=999.000, trades=69/24
[2025-11-04 17:59:54] [198/222] 9021.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-04 17:59:54] [199/222] 9020.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=25/12
[2025-11-04 17:59:57] [200/222] 8766.T: best train_pf_eff=0.735, forward_pf_eff=999.000, trades=26/2
[2025-11-04 18:00:16] [201/222] 9023.T: best train_pf_eff=0.742, forward_pf_eff=0.742, trades=6/6
[2025-11-04 18:00:35] [202/222] 9202.T: best train_pf_eff=0.360, forward_pf_eff=0.377, trades=106/51
[2025-11-04 18:00:37] [203/222] 9348.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 18:00:40] [204/222] 9022.T: best train_pf_eff=0.912, forward_pf_eff=999.000, trades=93/8
[2025-11-04 18:00:55] [205/222] 9201.T: best train_pf_eff=1.212, forward_pf_eff=999.000, trades=72/14
[2025-11-04 18:01:00] [206/222] 9104.T: best train_pf_eff=4.162, forward_pf_eff=999.000, trades=83/23
