code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
5950.T,5,1.2,2.0,0.6,0.02,0.05,0.6666666666666666,1.2,6,1.1987205117952817
5952.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,1,
5955.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
6098.T,5,1.2,2.0,0.6,0.05,0.05,0.39814814814814814,0.403125,108,0.396499861593824
6146.T,3,1.2,2.0,1.0,0.05,0.05,0.46875,0.5294117647058824,128,0.5288472846155656
6177.T,1,1.2,1.5,1.0,0.02,0.05,0.3953488372093023,0.5439999999999999,43,0.5224495653600132
6178.T,5,1.2,2.0,1.0,0.02,0.02,0.34177215189873417,0.3145631067961165,158,0.3112062867160828
6268.T,2,1.2,2.0,1.0,0.02,0.05,0.22564102564102564,0.176,195,0.17464802158606757
6301.T,5,1.2,2.0,1.0,0.02,0.02,0.4728682170542636,0.538235294117647,129,0.537661406025825
6315.T,5,1.2,1.5,1.0,0.05,0.02,0.24581005586592178,0.2626865671641791,179,0.26042801863697385
6323.T,2,1.2,2.0,1.0,0.05,0.02,0.34782608695652173,0.3254237288135593,184,0.31965880314540857
6324.T,2,1.2,1.5,0.8,0.02,0.05,0.143646408839779,0.13506493506493505,181,0.1340326019671229
6326.T,3,1.2,1.5,1.0,0.02,0.05,0.3208955223880597,0.38222222222222224,134,0.37756859345345484
6330.T,5,1.2,2.0,1.0,0.05,0.02,0.39215686274509803,0.391304347826087,153,0.3866840360629942
6361.T,3,1.2,2.0,0.6,0.02,0.05,0.1989247311827957,0.15,186,0.14883442596115917
6471.T,1,1.2,2.0,0.8,0.05,0.05,0.2331288343558282,0.18536585365853658,163,0.18220551779288283
6472.T,1,1.2,1.5,0.8,0.02,0.05,0.2109375,0.21818181818181817,128,0.21360488927357557
6479.T,2,1.2,2.0,0.6,0.05,0.05,0.36470588235294116,0.3476635514018691,170,0.3440771839412383
6501.T,3,1.2,1.5,0.6,0.05,0.02,0.25,0.27076923076923076,176,0.26634683724235964
6503.T,2,1.2,1.5,0.6,0.05,0.02,0.2937853107344633,0.3328,177,0.3324008528784648
6506.T,5,1.2,2.0,0.8,0.05,0.05,0.36419753086419754,0.34705882352941175,162,0.3433228650287458
6525.T,3,1.2,2.0,1.0,0.02,0.05,0.39759036144578314,0.4,166,0.3955777688924431
6526.T,2,1.2,2.0,1.0,0.05,0.02,0.37790697674418605,0.37142857142857144,172,0.36409735171352026
6573.T,1,1.2,1.5,1.0,0.02,0.02,0.75,2.4,4,2.397121535181237
6574.T,2,1.2,2.0,0.8,0.05,0.02,0.2978723404255319,0.2863636363636364,141,0.25427404795657493
6594.T,3,1.2,2.0,1.0,0.05,0.02,0.39880952380952384,0.40199999999999997,168,0.3975954172786332
6659.T,2,1.2,1.5,0.6,0.02,0.02,0.4807692307692308,0.7692307692307693,52,0.7398523256732213
6701.T,5,1.2,2.0,1.0,0.05,0.05,0.4496124031007752,0.4971428571428571,129,0.48961823721215747
6702.T,5,1.2,2.0,1.0,0.05,0.02,0.3795180722891566,0.37425742574257426,166,0.36659899147137265
6723.T,3,1.2,2.0,0.8,0.02,0.02,0.46408839779005523,0.5305263157894736,181,0.5190336236639363
6740.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,2,
6752.T,2,1.2,2.0,0.8,0.05,0.02,0.4437869822485207,0.4787234042553192,169,0.47821297013109654
6753.T,5,1.2,2.0,1.0,0.02,0.05,0.5,0.6086956521739131,140,0.599360255897641
6758.T,5,1.2,2.0,0.6,0.05,0.05,0.26973684210526316,0.2236363636363636,152,0.2213853197459755
6762.T,5,1.2,2.0,1.0,0.05,0.05,0.3821138211382114,0.37105263157894736,123,0.3706570003577517
6814.T,3,1.2,2.0,0.6,0.05,0.05,0.27807486631016043,0.23458646616541354,187,0.23086469116057282
6845.T,1,1.2,1.5,0.8,0.05,0.05,0.26785714285714285,0.2926829268292683,112,0.29233189453429714
6857.T,3,1.2,2.0,0.6,0.05,0.05,0.4793388429752066,0.58,121,0.5517919816200504
6869.T,3,1.2,2.0,0.8,0.05,0.02,0.2727272727272727,0.22666666666666666,187,0.22476009596161536
6902.T,1,1.2,1.5,0.6,0.02,0.05,0.24060150375939848,0.256,133,0.2531613502501636
6920.T,2,1.2,1.5,1.0,0.02,0.05,0.25165562913907286,0.27142857142857146,151,0.2687038888993717
6954.T,3,1.2,1.5,1.0,0.05,0.05,0.31543624161073824,0.3722772277227723,149,0.3681853338350265
6963.T,3,1.2,2.0,1.0,0.05,0.05,0.46987951807228917,0.5379310344827586,166,0.5312511359092728
6965.T,3,1.2,2.0,0.6,0.02,0.02,0.36507936507936506,0.3508474576271186,189,0.3446321471411436
6966.T,2,1.2,2.0,1.0,0.02,0.05,0.3404255319148936,0.31999999999999995,141,0.30934722885039534
6971.T,1,1.2,1.5,0.6,0.02,0.05,0.2905982905982906,0.32771084337349393,117,0.32731779998458665
6976.T,1,1.2,1.5,1.0,0.05,0.02,0.2714285714285714,0.2980392156862745,140,0.2976817592708725
