code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
8031.T,2,1.2,2.0,1.0,0.05,0.02,0.48717948717948717,0.5846153846153846,156,0.5693922431027589,0.375,0.37058823529411766,56,2,1.2,2.0,1.0,0.05,0.02,0.35961615353858456
8035.T,2,1.2,1.5,0.6,0.05,0.05,0.2958579881656805,0.33613445378151263,169,0.3357313074483525,0.2318840579710145,0.26122448979591834,69,2,1.2,1.5,0.6,0.05,0.05,0.24121977712515594
8053.T,1,1.2,2.0,1.0,0.02,0.05,0.2773109243697479,0.23294117647058823,119,0.2299870749374669,0.3090909090909091,0.27567567567567564,55,1,1.2,2.0,1.0,0.02,0.05,0.2681348513226289
8058.T,5,1.2,1.5,1.0,0.02,0.05,0.31901840490797545,0.3747747747747748,163,0.37432528477304594,0.34375,0.419047619047619,64,5,1.2,1.5,1.0,0.02,0.05,0.4185450299522795
8105.T,5,1.2,1.5,0.6,0.02,0.02,0.28994082840236685,0.32941176470588235,169,0.3262748756218905,0.1794871794871795,0.17777777777777778,78,5,1.2,1.5,0.6,0.02,0.02,0.17479011194029853
8113.T,5,1.2,2.0,0.8,0.02,0.02,0.23163841807909605,0.1835820895522388,177,0.18068948891031822,0.36923076923076925,0.35121951219512193,65,5,1.2,2.0,0.8,0.02,0.02,0.3508450278425216
8136.T,5,1.2,2.0,1.0,0.05,0.02,0.41843971631205673,0.4425,141,0.4312470133897662,0.24615384615384617,0.21333333333333332,65,5,1.2,2.0,1.0,0.05,0.02,0.19570947131351543
8233.T,3,1.2,1.5,0.6,0.05,0.05,0.273972602739726,0.3047619047619048,146,0.3015247214064448,0.28,0.32,50,3,1.2,1.5,0.6,0.05,0.05,0.31073797678275294
8267.T,5,1.2,1.5,0.6,0.02,0.02,0.2094240837696335,0.21333333333333335,191,0.21166636072240502,0.01694915254237288,0.014035087719298246,59,5,1.2,1.5,0.6,0.02,0.02,0.013776560547018602
8306.T,2,1.2,2.0,1.0,0.02,0.05,0.3835616438356164,0.37333333333333335,146,0.37293527033630985,0.4897959183673469,0.6,49,2,1.2,2.0,1.0,0.02,0.05,0.5753858456617353
8308.T,2,1.2,2.0,1.0,0.05,0.02,0.35502958579881655,0.34285714285714286,169,0.3299230766409033,0.36363636363636365,0.36363636363636365,55,2,1.2,2.0,1.0,0.05,0.02,0.342491574798652
8309.T,3,1.2,2.0,1.0,0.02,0.05,0.3708609271523179,0.3536842105263158,151,0.3533070982133462,0.5161290322580645,0.6620689655172414,62,3,1.2,2.0,1.0,0.02,0.05,0.639317606290817
8316.T,5,1.2,2.0,0.8,0.05,0.05,0.31386861313868614,0.274468085106383,137,0.2741754362084953,0.45454545454545453,0.5,44,5,1.2,2.0,0.8,0.05,0.05,0.49946687991470085
8331.T,1,1.2,1.5,0.6,0.05,0.02,0.20909090909090908,0.21149425287356322,110,0.21124059505428522,0.25396825396825395,0.2782608695652174,63,1,1.2,1.5,0.6,0.05,0.02,0.2720137912262396
