winrate_TR,pf_TR,trades_TR,code,ATR_n_TR,TPk_TR,SLk_TR,J_th_TR,dJ_th_TR,vEMA_th_TR,PF_eff_TR,winrate_FW,pf_FW,trades_FW,ATR_n_FW,TPk_FW,SLk_FW,J_th_FW,dJ_th_FW,vEMA_th_FW,PF_eff_FW
0.34231536926147704,0.251743119266055,1002,4704.T,3,1.2,2.5,0.6,0.02,0.02,0.24958665730759785,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.02,0.0
0.2902777777777778,0.20104208416833666,720,4732.T,1,1.2,2.5,0.6,0.02,0.02,0.19612729797306352,0.0,0.0,0,1,1.2,2.5,0.6,0.02,0.02,0.0
0.3064516129032258,0.21271137026239068,992,4751.T,5,1.2,2.5,0.6,0.05,0.02,0.21188382508295023,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.38122827346465815,0.3013740458015267,863,4755.T,3,1.2,2.5,0.6,0.05,0.05,0.29543864315478974,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.05,0.0
0.35454545454545455,0.2822110552763819,330,4814.T,1,1.2,2.5,0.6,0.02,0.05,0.2634019085723554,0.0,0.0,0,1,1.2,2.5,0.6,0.02,0.05,0.0
0.3637469586374696,0.2803125,822,4889.T,2,1.2,2.5,0.6,0.02,0.02,0.2741461546836561,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.02,0.0
0.39362912400455063,0.3193846153846154,879,4901.T,3,1.2,2.5,0.6,0.05,0.05,0.3112874049159804,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.05,0.0
0.292,0.20051502145922745,1000,4902.T,5,1.2,2.5,0.6,0.02,0.02,0.19777083762574507,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.406478578892372,0.33165186500888094,957,4911.T,5,1.2,2.5,0.8,0.02,0.02,0.3284081488289944,0.0,0.0,0,5,1.2,2.5,0.8,0.02,0.02,0.0
0.40560949298813376,0.3342222222222222,927,5016.T,3,1.2,2.5,0.6,0.02,0.02,0.3272268300641073,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.02,0.0
