code,mode,signal_mode,session,ATR_n,TPk,SLk,J_th,forward_pf_eff,forward_exp_bp,ts,date,side,pnl_bp,bars,gap_bp,gap_bucket,market_ret_5m,market_bias,vol_spike,repeat_index,j_abs,j_range,sector_code,batch_folder,batch_kind,run_path,ts_exit,win
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-01 01:11:00+00:00,2025-10-01,SELL,23.56286178775314,8,-36.018957345971565,<80bp,0.0,neutral,1.2383612662942272,3,1.5129388619316424,9.910593095127304,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 01:19:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-10 00:16:00+00:00,2025-10-10,SELL,64.40014163419269,8,-65.56825823806321,<80bp,-6.278688065627369,neutral,0.0,1,2.082278171821196,15.491387906719904,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-10 00:24:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-15 00:33:00+00:00,2025-10-15,BUY,27.16215454765271,25,22.915564956812972,<80bp,-17.894223583501123,down,0.6746476481575819,1,1.991743864043762,1.991743864043762,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 00:58:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-15 00:38:00+00:00,2025-10-15,BUY,30.012779482884845,12,22.915564956812972,<80bp,-0.7341547082728717,neutral,0.937009247949747,2,2.136136105702144,2.136136105702144,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 00:50:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-15 01:07:00+00:00,2025-10-15,BUY,18.74056055317234,7,22.915564956812972,<80bp,-16.12903759247275,down,1.7253299811439349,3,1.8968511067383969,3.055337330356507,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:14:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-15 01:09:00+00:00,2025-10-15,BUY,17.301969453499616,5,22.915564956812972,<80bp,-17.583100105291738,down,0.4772953264832615,4,2.0060896974354847,3.055337330356507,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-15 01:14:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-01 00:18:00+00:00,2025-10-01,BUY,48.34623646306567,17,-33.97893306150187,<80bp,0.0,neutral,0.0,1,1.8523965003677465,17.894166778094945,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 00:35:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-01 00:23:00+00:00,2025-10-01,BUY,51.92632045352436,7,-33.97893306150187,<80bp,0.0,neutral,1.2351945854483926,2,1.7698834542798725,17.894166778094945,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 00:30:00+00:00,True
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-01 00:42:00+00:00,2025-10-01,SELL,-64.98213912233004,4,-33.97893306150187,<80bp,0.0,neutral,0.2782281600622608,1,1.7760030599422805,17.894166778094945,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 00:46:00+00:00,False
6857.T,refine,j-cross,AM15,5,2.0,2.8,1.65,1.939995364504138,18.7253481427491,2025-10-01 00:50:00+00:00,2025-10-01,SELL,-75.96925322946967,6,-33.97893306150187,<80bp,0.0,neutral,1.0974616533188544,2,1.8131875236377444,17.894166778094945,68,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 00:56:00+00:00,False
