code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
7794.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7776.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7733.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7911.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7532.T,coarse,j-only,7,0.0,0.0,0.0,-66.2930495453028,0,1
7912.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7453.T,coarse,j-only,5,0.6,1.2351035144269358,1.2351035144269358,2.953525557177953,0,1
7711.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7951.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7751.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7832.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7741.T,coarse,j-only,13,0.07692307692307693,0.0716485798702254,0.07164857987022541,-29.91097154276537,0,1
7735.T,coarse,j-only,2,0.5,2.2065852256087433,2.2065852256087433,19.51009712507267,0,1
8015.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7936.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8105.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8001.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8113.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7974.T,coarse,j-only,3,0.0,0.0,0.0,-26.71337449377906,0,1
8002.T,coarse,j-only,1,1.0,999.0,999.0,12.619630304608364,0,1
8035.T,coarse,j-only,6,0.3333333333333333,0.5394299705505418,0.5394299705505416,-14.834009940632592,0,1
8031.T,coarse,j-only,4,1.0,999.0,999.0,9.5440757376593,0,1
8233.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8053.T,coarse,j-only,3,0.6666666666666666,0.38233812937906664,0.3823381293790665,-6.399189650386958,0,1
8058.T,coarse,j-only,4,0.5,0.3019148805340891,0.3019148805340891,-12.480437593705389,0,1
8136.T,coarse,j-only,2,0.0,0.0,0.0,-56.588587445972095,0,1
8331.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8359.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8267.T,coarse,j-only,4,1.0,999.0,999.0,27.886528946264654,0,1
8306.T,coarse,j-only,1,1.0,999.0,999.0,12.96122762148341,0,1
8309.T,coarse,j-only,1,1.0,999.0,999.0,8.153887029066176,0,1
8308.T,coarse,j-only,2,1.0,999.0,999.0,19.739128204143462,0,1
8316.T,coarse,j-only,3,0.3333333333333333,0.1563433474648844,0.15634334746488437,-28.905112640118833,0,1
8601.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8411.T,coarse,j-only,4,0.25,0.1177551731983818,0.1177551731983818,-38.76163334982191,0,1
8591.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8473.T,coarse,j-only,9,0.0,0.0,0.0,-106.50033659086803,0,1
8604.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8697.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8630.T,coarse,j-only,1,1.0,999.0,999.0,12.345534407028378,0,1
8795.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8725.T,coarse,j-only,2,0.0,0.0,0.0,-25.054745996791546,0,1
8750.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8729.T,coarse,j-only,3,0.0,0.0,0.0,-27.668039057934404,0,1
9021.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8766.T,coarse,j-only,2,0.0,0.0,0.0,-34.89890367141976,0,1
8802.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9023.T,coarse,j-only,2,1.0,999.0,999.0,1.7687604604301237,0,1
8801.T,coarse,j-only,3,0.0,0.0,0.0,-26.898347999360738,0,1
9143.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9020.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9024.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9202.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9022.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9227.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9418.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
8830.T,coarse,j-only,4,0.5,0.46042451580335997,0.46042451580335997,-10.694739529905547,0,1
9240.T,coarse,j-only,1,0.0,0.0,0.0,-313.0904786064602,0,1
9201.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9502.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9101.T,coarse,j-only,1,1.0,999.0,999.0,11.996057756776654,0,1
9107.T,coarse,j-only,2,1.0,999.0,999.0,13.009068952696543,0,1
9104.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9504.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9513.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9434.T,coarse,j-only,4,0.5,0.38251116240568594,0.38251116240568594,-4.8102637510681605,0,1
9433.T,coarse,j-only,3,0.3333333333333333,0.39573632444226964,0.3957363244422696,-8.740718358987417,0,1
9432.T,coarse,j-only,3,0.6666666666666666,0.4841842560066773,0.4841842560066772,-4.744599785243175,0,1
9509.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9602.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9501.T,coarse,j-only,2,0.0,0.0,0.0,-41.95477729356024,0,1
9831.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9962.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9861.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9697.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
9503.T,coarse,j-only,5,0.2,0.07865501966706849,0.07865501966706849,-34.643511734769795,0,1
9843.T,coarse,j-only,5,0.2,0.5831424580781507,0.5831424580781507,-6.498638491256385,0,1
9984.T,coarse,j-only,4,0.0,0.0,0.0,-91.46109005101991,0,1
9983.T,coarse,j-only,2,1.0,999.0,999.0,35.13010120868688,0,1
