code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,ティック数,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
285A.T,,285A,キオクシアホールディングス,0,東Ｐ,貸借,▲,"6,150.00",150,2.50%,"7,535,600","5,693","5,950.00","6,150.00","5,850.00",11:30,〇,-,-,"166,400"
3349.T,,3349,コスモス薬品,0,東Ｐ,貸借,▲,"7,582.00",-802,-9.57%,"1,216,900","5,669","7,634.00","7,716.00","7,291.00",11:30,〇,-,-,"6,100"
5724.T,,5724,アサカ理研,0,東Ｓ,信用,▲,"1,742.00",152,9.56%,"1,194,400","5,590","1,720.00","1,888.00","1,690.00",11:30,〇,1,-,"10,100"
6701.T,,6701,日本電気,0,東Ｐ,貸借,▲,"4,758.00",122,2.63%,"2,002,600","5,588","4,600.00","4,759.00","4,596.00",11:30,〇,-,-,"164,300"
186A.T,,186A,アストロスケールホールディンク,0,東Ｇ,貸借,▲,860,108,14.36%,"6,793,000","5,578",767,862,756,11:30,〇,1.1,-,"42,300"
6762.T,,6762,ＴＤＫ,0,東Ｐ,貸借,▲,"2,218.50",78.5,3.67%,"2,098,100","5,467","2,162.50","2,226.50","2,162.50",11:30,〇,-,-,"99,300"
7794.T,,7794,イーディーピー,0,東Ｇ,信用,▼,547,1,0.18%,"2,288,400","5,369",543,646,517,11:30,〇,1.2,-,"27,300"
8729.T,,8729,ソニーフィナンシャルグループ,0,東Ｐ,信用,▲,153,0.3,0.20%,"47,580,000","5,318",152.6,153.6,151.1,11:30,〇,0.1,-,"6,230,300"
6752.T,,6752,パナソニックホールディンク,0,東Ｐ,貸借,▲,"1,797.50",-0.5,-0.03%,"2,984,600","5,194","1,810.50","1,812.00","1,771.50",11:30,〇,-,-,"145,700"
4571.T,,4571,ＮＡＮＯＭＲＮＡ,0,東Ｇ,信用,▲,238,50,26.60%,"17,524,900","5,019",186,238,182,10:51,〇,0.1,-,0
1540.T,,1540,純金上場信託,0,東Ｐ,貸借,▲,"20,840.00",675,3.35%,"549,653","5,010","20,600.00","20,850.00","20,375.00",11:30,〇,21,-,0
1542.T,,1542,純銀上場信託,0,東Ｐ,貸借,▲,"24,360.00",240,1.00%,"123,271","4,978","24,890.00","25,465.00","23,870.00",11:30,〇,-,-,"2,931"
8308.T,,8308,りそなホールディングス,0,東Ｐ,貸借,▲,"1,431.00",10.5,0.74%,"5,066,700","4,957","1,435.50","1,438.00","1,415.00",11:30,〇,-,-,"345,800"
6315.T,,6315,ＴＯＷＡ,0,東Ｐ,貸借,▼,"2,022.00",-11,-0.54%,"2,105,900","4,934","2,041.00","2,058.00","2,013.00",11:30,〇,-,-,"60,800"
6702.T,,6702,富士通,0,東Ｐ,貸借,▼,"3,784.00",46,1.23%,"2,076,400","4,896","3,725.00","3,790.00","3,723.00",11:30,〇,-,-,"149,800"
8766.T,,8766,東京海上ＨＤ,0,東Ｐ,貸借,▼,"6,212.00",35,0.57%,"1,763,000","4,837","6,197.00","6,254.00","6,182.00",11:30,〇,-,-,"308,100"
4568.T,,4568,第一三共,0,東Ｐ,貸借,▲,"4,010.00",110,2.82%,"2,887,700","4,791","3,883.00","4,022.00","3,878.00",11:30,〇,-,-,"94,900"
7201.T,,7201,日産自動車,0,東Ｐ,貸借,▼,344.2,-1.1,-0.32%,"9,733,600","4,783",349.4,351.5,343.3,11:30,〇,-,-,"375,100"
7735.T,,7735,ＳＣＲＥＥＮホールディングス,0,東Ｐ,貸借,▲,"13,885.00",610,4.60%,"1,097,400","4,783","13,250.00","13,905.00","13,225.00",11:30,〇,-,-,"37,200"
9227.T,,9227,マイクロ波化学,0,東Ｇ,貸借,▲,824,79,10.60%,"1,720,300","4,630",751,865,735,11:30,〇,1.8,0.05,"8,400"
8233.T,,8233,高島屋,0,東Ｐ,貸借,▲,"1,713.00",-10.5,-0.61%,"1,486,500","4,572","1,760.00","1,764.50","1,684.50",11:30,〇,-,0.05,"120,000"
4063.T,,4063,信越化学,0,東Ｐ,貸借,▼,"5,009.00",-8,-0.16%,"1,793,000","4,517","5,045.00","5,053.00","4,987.00",11:30,〇,-,-,"195,600"
