code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
6166.T,5,1.2,2.0,1.0,0.02,0.02,0.34615384615384615,0.33749999999999997,26,0.3173083707693393,0.6666666666666666,1.2,3,5,1.2,2.0,1.0,0.02,0.02,1.1987205117952817
6173.T,5,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.125,0.0761904761904762,8,5,0.8,1.5,0.6,0.02,0.02,0.07607371306731649
6265.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
6323.T,5,1.2,1.5,1.0,0.02,0.05,0.2894736842105263,0.32592592592592595,114,0.3255350232962174,0.36363636363636365,0.45714285714285713,88,5,1.2,1.5,1.0,0.02,0.05,0.4565945781297594
6433.T,3,1.2,1.5,1.0,0.05,0.02,0.43283582089552236,0.627027027027027,67,0.6097940747390864,0.25333333333333335,0.27142857142857146,75,3,1.2,1.5,1.0,0.05,0.02,0.2711030307645447
6518.T,5,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.0,0.0,0,5,0.8,1.5,0.6,0.02,0.02,0.0
6558.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
6775.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,,0.3,0.2285714285714286,10,1,0.8,1.5,0.6,0.02,0.02,0.22822113920194945
6803.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,2,,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
6867.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,3,0.0,0.0,0.0,3,1,0.8,1.5,0.6,0.02,0.02,0.0
7031.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
7036.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.12903225806451613,0.08533333333333334,31,1,0.8,1.5,0.6,0.02,0.02,0.07889125799573561
7064.T,2,0.8,1.5,0.6,0.02,0.05,1.0,999.0,1,,0.0,0.0,0,2,0.8,1.5,0.6,0.02,0.05,0.0
7085.T,1,1.2,1.5,0.6,0.05,0.05,0.4166666666666667,0.5714285714285714,12,0.5707432226621993,0.36363636363636365,0.4571428571428571,33,1,1.2,1.5,0.6,0.05,0.05,0.4565945781297594
7250.T,5,1.2,2.0,0.8,0.02,0.02,0.6363636363636364,1.05,33,1.0488804478208718,0.2391304347826087,0.19999999999999998,46,5,1.2,2.0,0.8,0.02,0.02,0.18837036613925862
7261.T,3,1.2,1.5,0.6,0.05,0.05,0.125,0.11531531531531532,128,0.11414864453243985,0.3247863247863248,0.3848101265822785,117,3,1.2,1.5,0.6,0.05,0.05,0.38434860057758236
75505.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
7599.T,5,1.2,2.0,0.6,0.05,0.02,0.4888888888888889,0.5866666666666667,90,0.573301114336874,0.45535714285714285,0.5016393442622951,112,5,1.2,2.0,0.6,0.05,0.02,0.5011044762422899
7640.T,1,1.2,1.5,1.0,0.02,0.02,0.2,0.19999999999999998,40,0.19976012793176975,0.3333333333333333,0.39999999999999997,3,1,1.2,1.5,1.0,0.02,0.02,0.3995202558635394
7719.T,1,1.2,1.5,1.0,0.05,0.02,0.8,3.1999999999999997,10,3.1961620469083165,0.6363636363636364,1.4000000000000001,11,1,1.2,1.5,1.0,0.05,0.02,1.3983208955223883
7923.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,3,1,0.8,1.5,0.6,0.02,0.02,0.0
8105.T,5,1.2,1.5,0.6,0.02,0.02,0.32432432432432434,0.38399999999999995,111,0.38353944562899794,0.15333333333333332,0.14838709677419354,150,5,1.2,1.5,0.6,0.02,0.02,0.1447081241710458
8233.T,5,1.2,1.5,0.8,0.02,0.02,0.26126126126126126,0.2864197530864197,111,0.28258749804982064,0.203125,0.20392156862745098,128,5,1.2,1.5,0.8,0.02,0.02,0.20367699318533386
8244.T,1,1.2,1.5,0.8,0.05,0.02,0.2962962962962963,0.35555555555555557,27,0.3364381102008754,0.18421052631578946,0.1806451612903226,38,1,1.2,1.5,0.8,0.05,0.02,0.18042850264805008
8273.T,3,1.2,2.0,1.0,0.05,0.05,0.45614035087719296,0.52,57,0.5026892468818924,0.30434782608695654,0.2625,115,3,1.2,2.0,1.0,0.05,0.05,0.262220111955218
9240.T,1,1.2,1.5,0.6,0.02,0.02,0.36363636363636365,0.47761194029850745,110,0.4565945781297594,0.1836734693877551,0.187012987012987,98,1,1.2,1.5,0.6,0.02,0.02,0.17978411513859277
9254.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.16666666666666666,0.10666666666666667,6,1,0.8,1.5,0.6,0.02,0.02,0.10650319829424307
9270.T,3,1.2,1.5,0.8,0.05,0.02,0.15384615384615385,0.15,39,0.14528009304128708,0.1016949152542373,0.09056603773584905,59,3,1.2,1.5,0.8,0.05,0.02,0.09045741642193346
9345.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,1.0,999.0,3,1,0.8,1.5,0.6,0.02,0.02,
9399.T,3,1.2,1.5,0.8,0.02,0.05,0.5128205128205128,0.8888888888888888,39,0.8410952755021882,0.2676056338028169,0.2923076923076923,71,3,1.2,1.5,0.8,0.02,0.05,0.29195711005412495
9679.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,1,1,0.8,1.5,0.6,0.02,0.02,0.0
9946.T,5,1.2,2.0,1.0,0.02,0.02,0.4473684210526316,0.523076923076923,76,0.4851963976314237,0.26153846153846155,0.2217391304347826,65,5,1.2,2.0,1.0,0.02,0.02,0.21227342396374785
