code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD,ranking,stamp
7711.T,1,1.2,1.5,0.6,0.05,0.05,0.3387096774193548,0.42,62,0.409264652348016,0.1666666666666666,0.1674418604651162,54.0,1.0,1.2,1.5,0.6,0.05,0.05,0.1598081023454158,DEKIDAKA,20251015
7794.T,1,0.8,1.5,0.6,0.02,0.05,1.0,999.0,3,,0.4210526315789473,0.3950617283950617,95.0,1.0,0.8,1.5,0.6,0.02,0.05,0.3872843574336111,DEKIDAKA,20251015
8035.T,2,1.2,2.0,0.6,0.05,0.05,0.3703703703703703,0.3529411764705882,108,0.352564856410377,0.2773109243697479,0.250632911392405,119.0,2.0,1.2,2.0,0.6,0.05,0.05,0.2299870749374669,DEKIDAKA,20251015
8058.T,5,1.2,1.5,1.0,0.02,0.05,0.3738317757009345,0.4776119402985074,107,0.4770391114788531,0.288135593220339,0.3238095238095237,118.0,5.0,1.2,1.5,1.0,0.02,0.05,0.3234211595085796,DEKIDAKA,20251015
8136.T,5,1.2,2.0,0.8,0.02,0.05,0.3777777777777777,0.3642857142857142,90,0.3638972982235677,0.375,0.3714285714285714,104.0,5.0,1.2,2.0,0.8,0.02,0.05,0.3596161535385845,DEKIDAKA,20251015
8267.T,3,1.2,2.0,0.6,0.05,0.02,0.2377049180327868,0.1933333333333333,122,0.1868972840971138,0.25,0.2024096385542168,112.0,3.0,1.2,2.0,0.6,0.05,0.02,0.1997867519658803,DEKIDAKA,20251015
8306.T,5,1.2,2.0,0.6,0.05,0.05,0.2976190476190476,0.2542372881355932,84,0.253966210126119,0.3636363636363636,0.349090909090909,88.0,5.0,1.2,2.0,0.6,0.05,0.05,0.342491574798652,DEKIDAKA,20251015
8308.T,1,1.2,1.5,0.6,0.05,0.02,0.3097345132743362,0.3733333333333333,113,0.3585438193647149,0.208,0.2144329896907216,125.0,1.0,1.2,1.5,0.6,0.05,0.02,0.2098490232818591,DEKIDAKA,20251015
8316.T,1,1.2,1.5,0.6,0.05,0.02,0.2469135802469135,0.2622950819672131,81,0.2619804956482226,0.2142857142857142,0.227027027027027,98.0,1.0,1.2,1.5,0.6,0.05,0.02,0.2179201395619306,DEKIDAKA,20251015
8410.T,1,1.2,2.0,1.0,0.05,0.05,0.4186046511627907,0.4319999999999999,43,0.4315393842463016,0.4262295081967213,0.4727272727272727,61.0,1.0,1.2,2.0,1.0,0.05,0.05,0.4452390472382476,DEKIDAKA,20251015
8411.T,2,1.2,1.5,1.0,0.05,0.05,0.3728813559322034,0.4756756756756756,118,0.47510516913502,0.2,0.2025316455696202,100.0,2.0,1.2,1.5,1.0,0.05,0.05,0.1997601279317697,DEKIDAKA,20251015
8601.T,2,1.2,2.0,0.8,0.05,0.05,0.3217391304347826,0.2846153846153846,115,0.2843119162591374,0.3111111111111111,0.2709677419354839,90.0,2.0,1.2,2.0,0.8,0.05,0.05,0.2706788252440959,DEKIDAKA,20251015
8604.T,3,1.2,1.5,1.0,0.02,0.05,0.2619047619047619,0.2901098901098901,126,0.2835305041612216,0.2166666666666666,0.2212765957446808,120.0,3.0,1.2,1.5,1.0,0.02,0.05,0.2210112053713197,DEKIDAKA,20251015
8729.T,1,1.2,2.0,1.0,0.05,0.05,0.5714285714285714,0.8400000000000001,49,0.7991470078635213,0.2121212121212121,0.1647058823529411,66.0,1.0,1.2,2.0,1.0,0.05,0.05,0.1613662227416726,DEKIDAKA,20251015
